date,open,high,low,close,atr,rsi
08/02/2013,0.85256,0.85336,0.84466,0.84556,0.007825684,51.42738957
11/02/2013,0.84456,0.8574,0.84448,0.8561,0.008217554,58.02672966
12/02/2013,0.8561,0.86309,0.85405,0.85891,0.008280819,59.60257343
13/02/2013,0.8589,0.86844,0.85716,0.86559,0.008511526,63.14493105
14/02/2013,0.86559,0.86666,0.85845,0.8624,0.008488331,60.42022326
15/02/2013,0.8624,0.86329,0.85746,0.86089,0.008283844,59.1197982
18/02/2013,0.8614,0.8648,0.86018,0.86329,0.00800201,60.57232176
19/02/2013,0.86326,0.86848,0.86007,0.86801,0.008033394,63.33173035
20/02/2013,0.86801,0.87646,0.86749,0.87183,0.008105441,65.43985557
21/02/2013,0.87183,0.87586,0.86299,0.86463,0.008471945,58.60126228
22/02/2013,0.86463,0.87015,0.8605,0.86992,0.008562565,61.7629346
25/02/2013,0.87098,0.88151,0.86022,0.86147,0.009541598,54.59099698
26/02/2013,0.86147,0.86478,0.85764,0.8637,0.00935686,56.04171226
27/02/2013,0.8637,0.86791,0.86229,0.86662,0.009069409,57.93669928
28/02/2013,0.86662,0.86774,0.86015,0.86108,0.008955608,53.24672988
01/03/2013,0.86108,0.86849,0.86094,0.866,0.008847485,56.60629464
04/03/2013,0.86541,0.8665,0.86135,0.86178,0.008563063,53.08292733
05/03/2013,0.86178,0.86355,0.85888,0.86281,0.008263596,53.83816854
06/03/2013,0.86279,0.86503,0.86191,0.86344,0.007867935,54.32250268
07/03/2013,0.86344,0.87327,0.86335,0.87297,0.008025786,60.9901598
08/03/2013,0.87297,0.87431,0.86761,0.87108,0.007923803,59.14620023
11/03/2013,0.87007,0.87479,0.8697,0.87469,0.007705818,61.53814906
12/03/2013,0.87469,0.87941,0.87187,0.87454,0.007693063,61.37734527
13/03/2013,0.87454,0.87473,0.86633,0.8685,0.007747442,55.13032708
14/03/2013,0.8685,0.86888,0.8612,0.86225,0.007742255,49.51437104
15/03/2013,0.86225,0.8659,0.86025,0.86506,0.007581312,51.8873995
18/03/2013,0.8584,0.85979,0.85314,0.85771,0.007915057,45.82057522
19/03/2013,0.85769,0.85868,0.8505,0.85317,0.007935437,42.51395571
20/03/2013,0.85317,0.86015,0.85188,0.85658,0.007961173,45.6844783
21/03/2013,0.85658,0.85739,0.84898,0.85017,0.007995698,41.09611756
22/03/2013,0.85015,0.85461,0.84846,0.85274,0.007853721,43.54436851
25/03/2013,0.85198,0.85612,0.84583,0.84702,0.008041127,39.59936146
26/03/2013,0.84701,0.84986,0.84594,0.84839,0.007724118,40.97858489
27/03/2013,0.84839,0.84882,0.84368,0.8447,0.007525339,38.43299846
28/03/2013,0.8447,0.84763,0.84157,0.84356,0.007412621,37.6547578
29/03/2013,0.84356,0.84432,0.84248,0.84358,0.006983958,37.67860057
01/04/2013,0.8433,0.84457,0.84107,0.84368,0.006715961,37.80667188
02/04/2013,0.84369,0.84941,0.84257,0.8488,0.006725502,44.13657219
03/04/2013,0.84881,0.84949,0.84689,0.84925,0.006408156,44.66959302
04/04/2013,0.84927,0.85215,0.84355,0.84921,0.00657676,44.62883019
05/04/2013,0.84918,0.85163,0.84704,0.84725,0.006423932,42.57850191
08/04/2013,0.8471,0.85326,0.84632,0.85274,0.006463629,49.56756263
09/04/2013,0.85275,0.85599,0.85072,0.85378,0.006371812,50.78949671
10/04/2013,0.85375,0.85604,0.85188,0.8525,0.006201672,49.20917601
11/04/2013,0.8525,0.85356,0.85046,0.85152,0.005963082,47.97829266
12/04/2013,0.85152,0.85495,0.849,0.8546,0.005962076,52.03871268
15/04/2013,0.854,0.85523,0.85148,0.85275,0.005791916,49.53763422
16/04/2013,0.85276,0.86023,0.85231,0.85776,0.005955615,55.74132147
17/04/2013,0.85776,0.86369,0.85338,0.85513,0.006290568,52.11904618
18/04/2013,0.85513,0.8574,0.85296,0.85412,0.006148216,50.75498697
19/04/2013,0.85413,0.85827,0.85036,0.85685,0.006283738,54.24107637
22/04/2013,0.85736,0.85904,0.8542,0.85452,0.006172681,50.92743127
